run_id,encoder_name,parser_name,mode,case_id,category,semantic_coverage,semantic_drift,fact_accuracy,relation_accuracy,recovery_accuracy,closure_accuracy,path_preservation,neighborhood_completeness,hallucinated_relation_rate,evidence_cost
e5-small-v2_rule_parser_relation_case_4_conflicting_neighbors_relation_expansion,e5-small-v2,rule_parser,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.1,1.0,1.0,0.5,1.0,1.0,0.8,0.5,1.8
e5-small-v2_rule_parser_relation_case_4_conflicting_neighbors_relation_closure,e5-small-v2,rule_parser,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.0,1.0,1.0,0.714286,1.0,1.0,0.6,0.0,2.1
e5-small-v2_hybrid_parser_relation_case_1_exact_vector_only,e5-small-v2,hybrid_parser,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.0
e5-small-v2_hybrid_parser_relation_case_1_exact_relation_expansion,e5-small-v2,hybrid_parser,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.2
e5-small-v2_hybrid_parser_relation_case_1_exact_relation_closure,e5-small-v2,hybrid_parser,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
e5-small-v2_hybrid_parser_relation_case_2_fact_preserved_relation_missing_vector_only,e5-small-v2,hybrid_parser,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.1
e5-small-v2_hybrid_parser_relation_case_2_fact_preserved_relation_missing_relation_expansion,e5-small-v2,hybrid_parser,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.32
e5-small-v2_hybrid_parser_relation_case_2_fact_preserved_relation_missing_relation_closure,e5-small-v2,hybrid_parser,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
e5-small-v2_hybrid_parser_relation_case_3_multi_hop_vector_only,e5-small-v2,hybrid_parser,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.285714,0.533333,0.666667,0.0,0.285714,0.0,0.0,0.5,0.0,1.3
e5-small-v2_hybrid_parser_relation_case_3_multi_hop_relation_expansion,e5-small-v2,hybrid_parser,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.08,1.0,1.0,0.545455,1.0,1.0,1.0,0.4,1.56
e5-small-v2_hybrid_parser_relation_case_3_multi_hop_relation_closure,e5-small-v2,hybrid_parser,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
e5-small-v2_hybrid_parser_relation_case_4_conflicting_neighbors_vector_only,e5-small-v2,hybrid_parser,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.333333,0.666667,0.5,0.428571,0.25,0.0,0.4,0.0,1.5
e5-small-v2_hybrid_parser_relation_case_4_conflicting_neighbors_relation_expansion,e5-small-v2,hybrid_parser,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.1,1.0,1.0,0.5,1.0,1.0,0.8,0.5,1.8
e5-small-v2_hybrid_parser_relation_case_4_conflicting_neighbors_relation_closure,e5-small-v2,hybrid_parser,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.0,1.0,1.0,0.714286,1.0,1.0,0.6,0.0,2.1
e5-small-v2_llm_parser_relation_case_1_exact_vector_only,e5-small-v2,llm_parser,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.0
e5-small-v2_llm_parser_relation_case_1_exact_relation_expansion,e5-small-v2,llm_parser,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.2
e5-small-v2_llm_parser_relation_case_1_exact_relation_closure,e5-small-v2,llm_parser,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
e5-small-v2_llm_parser_relation_case_2_fact_preserved_relation_missing_vector_only,e5-small-v2,llm_parser,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.1
e5-small-v2_llm_parser_relation_case_2_fact_preserved_relation_missing_relation_expansion,e5-small-v2,llm_parser,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.32
e5-small-v2_llm_parser_relation_case_2_fact_preserved_relation_missing_relation_closure,e5-small-v2,llm_parser,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
e5-small-v2_llm_parser_relation_case_3_multi_hop_vector_only,e5-small-v2,llm_parser,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.428571,0.4,0.666667,0.333333,0.428571,0.166667,0.0,0.5,0.0,1.3
e5-small-v2_llm_parser_relation_case_3_multi_hop_relation_expansion,e5-small-v2,llm_parser,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.05,1.0,1.0,0.666667,1.0,1.0,1.0,0.25,1.56
e5-small-v2_llm_parser_relation_case_3_multi_hop_relation_closure,e5-small-v2,llm_parser,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
e5-small-v2_llm_parser_relation_case_4_conflicting_neighbors_vector_only,e5-small-v2,llm_parser,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.333333,0.666667,0.5,0.428571,0.25,0.0,0.4,0.0,1.5
e5-small-v2_llm_parser_relation_case_4_conflicting_neighbors_relation_expansion,e5-small-v2,llm_parser,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.1,1.0,1.0,0.5,1.0,1.0,0.8,0.5,1.8
e5-small-v2_llm_parser_relation_case_4_conflicting_neighbors_relation_closure,e5-small-v2,llm_parser,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.0,1.0,1.0,0.714286,1.0,1.0,0.6,0.0,2.1
bge-small-en-v1.5_rule_parser_relation_case_1_exact_vector_only,bge-small-en-v1.5,rule_parser,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.0
bge-small-en-v1.5_rule_parser_relation_case_1_exact_relation_expansion,bge-small-en-v1.5,rule_parser,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.2
bge-small-en-v1.5_rule_parser_relation_case_1_exact_relation_closure,bge-small-en-v1.5,rule_parser,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
bge-small-en-v1.5_rule_parser_relation_case_2_fact_preserved_relation_missing_vector_only,bge-small-en-v1.5,rule_parser,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.1
bge-small-en-v1.5_rule_parser_relation_case_2_fact_preserved_relation_missing_relation_expansion,bge-small-en-v1.5,rule_parser,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.32
bge-small-en-v1.5_rule_parser_relation_case_2_fact_preserved_relation_missing_relation_closure,bge-small-en-v1.5,rule_parser,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
bge-small-en-v1.5_rule_parser_relation_case_3_multi_hop_vector_only,bge-small-en-v1.5,rule_parser,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.428571,0.4,0.666667,0.333333,0.428571,0.166667,0.0,0.5,0.0,1.3
bge-small-en-v1.5_rule_parser_relation_case_3_multi_hop_relation_expansion,bge-small-en-v1.5,rule_parser,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.05,1.0,1.0,0.666667,1.0,1.0,1.0,0.25,1.56
bge-small-en-v1.5_rule_parser_relation_case_3_multi_hop_relation_closure,bge-small-en-v1.5,rule_parser,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
bge-small-en-v1.5_rule_parser_relation_case_4_conflicting_neighbors_vector_only,bge-small-en-v1.5,rule_parser,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.285714,0.533333,0.666667,0.0,0.285714,0.0,0.0,0.4,0.0,1.5
bge-small-en-v1.5_rule_parser_relation_case_4_conflicting_neighbors_relation_expansion,bge-small-en-v1.5,rule_parser,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.1,1.0,1.0,0.5,1.0,1.0,0.8,0.5,1.8
bge-small-en-v1.5_rule_parser_relation_case_4_conflicting_neighbors_relation_closure,bge-small-en-v1.5,rule_parser,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.0,1.0,1.0,0.714286,1.0,1.0,0.6,0.0,2.1
bge-small-en-v1.5_hybrid_parser_relation_case_1_exact_vector_only,bge-small-en-v1.5,hybrid_parser,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.0
bge-small-en-v1.5_hybrid_parser_relation_case_1_exact_relation_expansion,bge-small-en-v1.5,hybrid_parser,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.2
bge-small-en-v1.5_hybrid_parser_relation_case_1_exact_relation_closure,bge-small-en-v1.5,hybrid_parser,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
bge-small-en-v1.5_hybrid_parser_relation_case_2_fact_preserved_relation_missing_vector_only,bge-small-en-v1.5,hybrid_parser,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.1
bge-small-en-v1.5_hybrid_parser_relation_case_2_fact_preserved_relation_missing_relation_expansion,bge-small-en-v1.5,hybrid_parser,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.32
bge-small-en-v1.5_hybrid_parser_relation_case_2_fact_preserved_relation_missing_relation_closure,bge-small-en-v1.5,hybrid_parser,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
bge-small-en-v1.5_hybrid_parser_relation_case_3_multi_hop_vector_only,bge-small-en-v1.5,hybrid_parser,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.428571,0.4,0.666667,0.333333,0.428571,0.166667,0.0,0.5,0.0,1.3
bge-small-en-v1.5_hybrid_parser_relation_case_3_multi_hop_relation_expansion,bge-small-en-v1.5,hybrid_parser,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.05,1.0,1.0,0.666667,1.0,1.0,1.0,0.25,1.56
bge-small-en-v1.5_hybrid_parser_relation_case_3_multi_hop_relation_closure,bge-small-en-v1.5,hybrid_parser,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
bge-small-en-v1.5_hybrid_parser_relation_case_4_conflicting_neighbors_vector_only,bge-small-en-v1.5,hybrid_parser,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.285714,0.533333,0.666667,0.0,0.285714,0.0,0.0,0.4,0.0,1.5
bge-small-en-v1.5_hybrid_parser_relation_case_4_conflicting_neighbors_relation_expansion,bge-small-en-v1.5,hybrid_parser,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.1,1.0,1.0,0.5,1.0,1.0,0.8,0.5,1.8
bge-small-en-v1.5_hybrid_parser_relation_case_4_conflicting_neighbors_relation_closure,bge-small-en-v1.5,hybrid_parser,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.0,1.0,1.0,0.714286,1.0,1.0,0.6,0.0,2.1
bge-small-en-v1.5_llm_parser_relation_case_1_exact_vector_only,bge-small-en-v1.5,llm_parser,vector_only,relation_case_1_exact,exact_relation_preservation,0.333333,0.533333,0.666667,0.0,0.333333,0.0,0.0,0.5,0.0,1.0
bge-small-en-v1.5_llm_parser_relation_case_1_exact_relation_expansion,bge-small-en-v1.5,llm_parser,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.2
bge-small-en-v1.5_llm_parser_relation_case_1_exact_relation_closure,bge-small-en-v1.5,llm_parser,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
bge-small-en-v1.5_llm_parser_relation_case_2_fact_preserved_relation_missing_vector_only,bge-small-en-v1.5,llm_parser,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.166667,0.666667,0.333333,0.0,0.142857,0.0,0.0,0.25,0.0,1.1
bge-small-en-v1.5_llm_parser_relation_case_2_fact_preserved_relation_missing_relation_expansion,bge-small-en-v1.5,llm_parser,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.433333,0.666667,0.5,0.333333,0.25,0.0,0.75,0.5,1.32
bge-small-en-v1.5_llm_parser_relation_case_2_fact_preserved_relation_missing_relation_closure,bge-small-en-v1.5,llm_parser,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.428571,0.25,0.0,0.5,0.0,1.54
bge-small-en-v1.5_llm_parser_relation_case_3_multi_hop_vector_only,bge-small-en-v1.5,llm_parser,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.428571,0.4,0.666667,0.333333,0.428571,0.166667,0.0,0.5,0.0,1.3
bge-small-en-v1.5_llm_parser_relation_case_3_multi_hop_relation_expansion,bge-small-en-v1.5,llm_parser,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.08,1.0,1.0,0.545455,1.0,1.0,1.0,0.4,1.56
bge-small-en-v1.5_llm_parser_relation_case_3_multi_hop_relation_closure,bge-small-en-v1.5,llm_parser,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
bge-small-en-v1.5_llm_parser_relation_case_4_conflicting_neighbors_vector_only,bge-small-en-v1.5,llm_parser,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.285714,0.533333,0.666667,0.0,0.285714,0.0,0.0,0.4,0.0,1.5
bge-small-en-v1.5_llm_parser_relation_case_4_conflicting_neighbors_relation_expansion,bge-small-en-v1.5,llm_parser,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.1,1.0,1.0,0.5,1.0,1.0,0.8,0.5,1.8
bge-small-en-v1.5_llm_parser_relation_case_4_conflicting_neighbors_relation_closure,bge-small-en-v1.5,llm_parser,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.0,1.0,1.0,0.714286,1.0,1.0,0.6,0.0,2.1
bge-base-en-v1.5_rule_parser_relation_case_1_exact_vector_only,bge-base-en-v1.5,rule_parser,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.0
bge-base-en-v1.5_rule_parser_relation_case_1_exact_relation_expansion,bge-base-en-v1.5,rule_parser,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.2
bge-base-en-v1.5_rule_parser_relation_case_1_exact_relation_closure,bge-base-en-v1.5,rule_parser,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
bge-base-en-v1.5_rule_parser_relation_case_2_fact_preserved_relation_missing_vector_only,bge-base-en-v1.5,rule_parser,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.1
bge-base-en-v1.5_rule_parser_relation_case_2_fact_preserved_relation_missing_relation_expansion,bge-base-en-v1.5,rule_parser,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.32
bge-base-en-v1.5_rule_parser_relation_case_2_fact_preserved_relation_missing_relation_closure,bge-base-en-v1.5,rule_parser,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
bge-base-en-v1.5_rule_parser_relation_case_3_multi_hop_vector_only,bge-base-en-v1.5,rule_parser,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.285714,0.533333,0.666667,0.0,0.285714,0.0,0.0,0.5,0.0,1.3
bge-base-en-v1.5_rule_parser_relation_case_3_multi_hop_relation_expansion,bge-base-en-v1.5,rule_parser,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.08,1.0,1.0,0.545455,1.0,1.0,1.0,0.4,1.56
bge-base-en-v1.5_rule_parser_relation_case_3_multi_hop_relation_closure,bge-base-en-v1.5,rule_parser,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
bge-base-en-v1.5_rule_parser_relation_case_4_conflicting_neighbors_vector_only,bge-base-en-v1.5,rule_parser,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.285714,0.533333,0.666667,0.0,0.285714,0.0,0.0,0.4,0.0,1.5
bge-base-en-v1.5_rule_parser_relation_case_4_conflicting_neighbors_relation_expansion,bge-base-en-v1.5,rule_parser,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.1,1.0,1.0,0.5,1.0,1.0,0.8,0.5,1.8
bge-base-en-v1.5_rule_parser_relation_case_4_conflicting_neighbors_relation_closure,bge-base-en-v1.5,rule_parser,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.0,1.0,1.0,0.714286,1.0,1.0,0.6,0.0,2.1
bge-base-en-v1.5_hybrid_parser_relation_case_1_exact_vector_only,bge-base-en-v1.5,hybrid_parser,vector_only,relation_case_1_exact,exact_relation_preservation,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.0
bge-base-en-v1.5_hybrid_parser_relation_case_1_exact_relation_expansion,bge-base-en-v1.5,hybrid_parser,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.066667,1.0,1.0,0.625,1.0,1.0,1.0,0.333333,1.2
bge-base-en-v1.5_hybrid_parser_relation_case_1_exact_relation_closure,bge-base-en-v1.5,hybrid_parser,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
bge-base-en-v1.5_hybrid_parser_relation_case_2_fact_preserved_relation_missing_vector_only,bge-base-en-v1.5,hybrid_parser,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.1
bge-base-en-v1.5_hybrid_parser_relation_case_2_fact_preserved_relation_missing_relation_expansion,bge-base-en-v1.5,hybrid_parser,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.32
bge-base-en-v1.5_hybrid_parser_relation_case_2_fact_preserved_relation_missing_relation_closure,bge-base-en-v1.5,hybrid_parser,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
bge-base-en-v1.5_hybrid_parser_relation_case_3_multi_hop_vector_only,bge-base-en-v1.5,hybrid_parser,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.285714,0.533333,0.666667,0.0,0.285714,0.0,0.0,0.5,0.0,1.3
bge-base-en-v1.5_hybrid_parser_relation_case_3_multi_hop_relation_expansion,bge-base-en-v1.5,hybrid_parser,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.08,1.0,1.0,0.545455,1.0,1.0,1.0,0.4,1.56
bge-base-en-v1.5_hybrid_parser_relation_case_3_multi_hop_relation_closure,bge-base-en-v1.5,hybrid_parser,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
bge-base-en-v1.5_hybrid_parser_relation_case_4_conflicting_neighbors_vector_only,bge-base-en-v1.5,hybrid_parser,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.333333,0.666667,0.5,0.428571,0.25,0.0,0.4,0.0,1.5
bge-base-en-v1.5_hybrid_parser_relation_case_4_conflicting_neighbors_relation_expansion,bge-base-en-v1.5,hybrid_parser,relation_expansion,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.1,1.0,1.0,0.5,1.0,1.0,0.8,0.5,1.8
bge-base-en-v1.5_hybrid_parser_relation_case_4_conflicting_neighbors_relation_closure,bge-base-en-v1.5,hybrid_parser,relation_closure,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.714286,0.0,1.0,1.0,0.714286,1.0,1.0,0.6,0.0,2.1
bge-base-en-v1.5_llm_parser_relation_case_1_exact_vector_only,bge-base-en-v1.5,llm_parser,vector_only,relation_case_1_exact,exact_relation_preservation,0.333333,0.533333,0.666667,0.0,0.333333,0.0,0.0,0.5,0.0,1.0
bge-base-en-v1.5_llm_parser_relation_case_1_exact_relation_expansion,bge-base-en-v1.5,llm_parser,relation_expansion,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.2
bge-base-en-v1.5_llm_parser_relation_case_1_exact_relation_closure,bge-base-en-v1.5,llm_parser,relation_closure,relation_case_1_exact,exact_relation_preservation,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.4
bge-base-en-v1.5_llm_parser_relation_case_2_fact_preserved_relation_missing_vector_only,bge-base-en-v1.5,llm_parser,vector_only,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.5,0.333333,0.666667,0.5,0.5,0.25,0.0,0.5,0.0,1.1
bge-base-en-v1.5_llm_parser_relation_case_2_fact_preserved_relation_missing_relation_expansion,bge-base-en-v1.5,llm_parser,relation_expansion,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.32
bge-base-en-v1.5_llm_parser_relation_case_2_fact_preserved_relation_missing_relation_closure,bge-base-en-v1.5,llm_parser,relation_closure,relation_case_2_fact_preserved_relation_missing,fact_preserved_relation_missing,0.833333,0.0,1.0,1.0,0.833333,1.0,1.0,0.75,0.0,1.54
bge-base-en-v1.5_llm_parser_relation_case_3_multi_hop_vector_only,bge-base-en-v1.5,llm_parser,vector_only,relation_case_3_multi_hop,multi_hop_relation,0.428571,0.4,0.666667,0.333333,0.428571,0.166667,0.0,0.5,0.0,1.3
bge-base-en-v1.5_llm_parser_relation_case_3_multi_hop_relation_expansion,bge-base-en-v1.5,llm_parser,relation_expansion,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.05,1.0,1.0,0.666667,1.0,1.0,1.0,0.25,1.56
bge-base-en-v1.5_llm_parser_relation_case_3_multi_hop_relation_closure,bge-base-en-v1.5,llm_parser,relation_closure,relation_case_3_multi_hop,multi_hop_relation,0.857143,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.82
bge-base-en-v1.5_llm_parser_relation_case_4_conflicting_neighbors_vector_only,bge-base-en-v1.5,llm_parser,vector_only,relation_case_4_conflicting_neighbors,conflicting_neighbors,0.428571,0.333333,0.666667,0.5,0.428571,0.25,0.0,0.4,0.0,1.5
